,Hour,Filename,Total_Pellets
275,6,FED006_072424_00.CSV,5.0
276,6,FED007_072424_01.CSV,4.0
277,6,FED008_072424_01.CSV,3.0
278,6,FED009_072424_00.CSV,6.5
279,7,FED001_072424_00.CSV,2.0
280,7,FED002_072424_01.CSV,5.5
281,7,FED003_072424_00.CSV,3.5
282,7,FED004_072424_00.CSV,0.0
283,7,FED005_072424_01.CSV,1.0
284,7,FED006_072424_00.CSV,3.5
285,7,FED007_072424_01.CSV,2.0
286,7,FED008_072424_01.CSV,7.0
287,7,FED009_072424_00.CSV,3.5
288,8,FED001_072424_00.CSV,13.5
289,8,FED002_072424_01.CSV,3.5
290,8,FED003_072424_00.CSV,7.0
291,8,FED004_072424_00.CSV,2.0
292,8,FED005_072424_01.CSV,0.5
293,8,FED006_072424_00.CSV,2.5
294,8,FED007_072424_01.CSV,4.5
295,8,FED008_072424_01.CSV,6.5
296,8,FED009_072424_00.CSV,3.5
297,9,FED001_072424_00.CSV,2.5
298,9,FED002_072424_01.CSV,0.0
299,9,FED003_072424_00.CSV,1.5
300,9,FED004_072424_00.CSV,4.5
301,9,FED005_072424_01.CSV,3.5
302,9,FED006_072424_00.CSV,4.5
303,9,FED007_072424_01.CSV,4.0
304,9,FED008_072424_01.CSV,3.5
305,9,FED009_072424_00.CSV,2.0
306,10,FED001_072424_00.CSV,2.0
307,10,FED002_072424_01.CSV,0.5
308,10,FED003_072424_00.CSV,3.5
309,10,FED004_072424_00.CSV,0.5
310,10,FED005_072424_01.CSV,1.0
311,10,FED006_072424_00.CSV,0.0
312,10,FED007_072424_01.CSV,2.5
313,10,FED008_072424_01.CSV,6.0
314,10,FED009_072424_00.CSV,5.0
315,11,FED001_072424_00.CSV,6.5
316,11,FED002_072424_01.CSV,0.0
317,11,FED003_072424_00.CSV,0.0
318,11,FED004_072424_00.CSV,0.0
319,11,FED005_072424_01.CSV,2.0
320,11,FED006_072424_00.CSV,0.0
321,11,FED007_072424_01.CSV,4.5
322,11,FED008_072424_01.CSV,4.5
323,11,FED009_072424_00.CSV,3.5
324,12,FED001_072424_00.CSV,3.5
325,12,FED002_072424_01.CSV,7.0
326,12,FED003_072424_00.CSV,5.0
327,12,FED004_072424_00.CSV,2.5
328,12,FED005_072424_01.CSV,2.0
329,12,FED006_072424_00.CSV,9.0
330,12,FED007_072424_01.CSV,0.5
331,12,FED008_072424_01.CSV,3.0
332,12,FED009_072424_00.CSV,4.0
333,13,FED001_072424_00.CSV,3.5
334,13,FED002_072424_01.CSV,7.5
335,13,FED003_072424_00.CSV,6.5
336,13,FED004_072424_00.CSV,0.5
337,13,FED005_072424_01.CSV,2.5
338,13,FED006_072424_00.CSV,10.5
339,13,FED007_072424_01.CSV,9.0
340,13,FED008_072424_01.CSV,8.5
341,13,FED009_072424_00.CSV,3.5
342,14,FED001_072424_00.CSV,7.0
343,14,FED002_072424_01.CSV,14.5
344,14,FED003_072424_00.CSV,3.5
345,14,FED004_072424_00.CSV,4.5
346,14,FED005_072424_01.CSV,2.5
347,14,FED006_072424_00.CSV,10.5
348,14,FED007_072424_01.CSV,2.5
349,14,FED008_072424_01.CSV,7.5
350,14,FED009_072424_00.CSV,4.0
351,15,FED001_072424_00.CSV,4.5
352,15,FED002_072424_01.CSV,13.0
353,15,FED003_072424_00.CSV,7.0
354,15,FED004_072424_00.CSV,3.5
355,15,FED005_072424_01.CSV,6.0
356,15,FED006_072424_00.CSV,12.5
357,15,FED007_072424_01.CSV,8.5
358,15,FED008_072424_01.CSV,7.0
359,15,FED009_072424_00.CSV,7.5
360,16,FED001_072424_00.CSV,14.5
361,16,FED002_072424_01.CSV,17.0
362,16,FED003_072424_00.CSV,4.5
363,16,FED004_072424_00.CSV,10.0
364,16,FED005_072424_01.CSV,8.5
365,16,FED006_072424_00.CSV,12.5
366,16,FED007_072424_01.CSV,8.5
367,16,FED008_072424_01.CSV,13.0
368,16,FED009_072424_00.CSV,9.5
369,17,FED001_072424_00.CSV,19.0
370,17,FED002_072424_01.CSV,9.0
371,17,FED003_072424_00.CSV,7.5
372,17,FED004_072424_00.CSV,9.0
373,17,FED005_072424_01.CSV,16.5
374,17,FED006_072424_00.CSV,17.0
375,17,FED007_072424_01.CSV,10.0
376,17,FED008_072424_01.CSV,15.0
377,17,FED009_072424_00.CSV,9.0
378,18,FED001_072424_00.CSV,14.0
