Interval,Filename,Task
2125.0,FED005_FR1concat.csv,FR1
32.0,FED005_FR1concat.csv,FR1
25.0,FED005_FR1concat.csv,FR1
474.0,FED005_FR1concat.csv,FR1
997.0,FED005_FR1concat.csv,FR1
170.0,FED005_FR1concat.csv,FR1
109.0,FED005_FR1concat.csv,FR1
93.0,FED005_FR1concat.csv,FR1
6560.0,FED005_FR1concat.csv,FR1
37.0,FED005_FR1concat.csv,FR1
62.0,FED005_FR1concat.csv,FR1
343.0,FED005_FR1concat.csv,FR1
7247.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
40.0,FED005_FR1concat.csv,FR1
6533.0,FED005_FR1concat.csv,FR1
26.0,FED005_FR1concat.csv,FR1
358.0,FED005_FR1concat.csv,FR1
3395.0,FED005_FR1concat.csv,FR1
68.0,FED005_FR1concat.csv,FR1
7594.0,FED005_FR1concat.csv,FR1
27.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
119.0,FED005_FR1concat.csv,FR1
3726.0,FED005_FR1concat.csv,FR1
1442.0,FED005_FR1concat.csv,FR1
22.0,FED005_FR1concat.csv,FR1
23.0,FED005_FR1concat.csv,FR1
26.0,FED005_FR1concat.csv,FR1
25.0,FED005_FR1concat.csv,FR1
25.0,FED005_FR1concat.csv,FR1
24.0,FED005_FR1concat.csv,FR1
2487.0,FED005_FR1concat.csv,FR1
