,Hour,Filename,Total_Pellets
111,12,FED003_FR1concat.csv,14.5
112,12,FED004_FR1concat.csv,10.5
113,12,FED005_FR1concat.csv,14.5
114,12,FED009_FR1concat.csv,13.0
115,12,FED008_FR1concat.csv,15.0
116,12,FED006_FR1concat.csv,11.0
117,13,FED009_FR1concat.csv,16.0
118,13,FED008_FR1concat.csv,20.5
119,13,FED007_FR1concat.csv,15.5
120,13,FED006_FR1concat.csv,14.5
121,13,FED004_FR1concat.csv,12.0
122,13,FED003_FR1concat.csv,11.5
123,13,FED002_FR1concat.csv,8.5
124,13,FED001_FR1concat.csv,17.5
125,13,FED005_FR1concat.csv,10.5
126,14,FED001_FR1concat.csv,15.0
127,14,FED002_FR1concat.csv,15.0
128,14,FED003_FR1concat.csv,14.5
129,14,FED004_FR1concat.csv,10.5
130,14,FED005_FR1concat.csv,11.0
131,14,FED006_FR1concat.csv,13.5
132,14,FED008_FR1concat.csv,10.0
133,14,FED007_FR1concat.csv,9.5
134,14,FED009_FR1concat.csv,13.5
135,15,FED001_FR1concat.csv,9.5
136,15,FED009_FR1concat.csv,10.0
137,15,FED008_FR1concat.csv,13.5
138,15,FED007_FR1concat.csv,11.0
139,15,FED002_FR1concat.csv,11.5
140,15,FED005_FR1concat.csv,6.5
141,15,FED004_FR1concat.csv,5.0
142,15,FED003_FR1concat.csv,10.0
143,15,FED006_FR1concat.csv,15.0
144,16,FED001_FR1concat.csv,12.0
145,16,FED003_FR1concat.csv,9.5
146,16,FED004_FR1concat.csv,8.0
147,16,FED005_FR1concat.csv,9.0
148,16,FED006_FR1concat.csv,9.0
149,16,FED007_FR1concat.csv,9.5
150,16,FED008_FR1concat.csv,13.5
151,16,FED009_FR1concat.csv,6.5
152,16,FED002_FR1concat.csv,5.5
153,17,FED005_FR1concat.csv,6.5
154,17,FED001_FR1concat.csv,4.0
155,17,FED002_FR1concat.csv,11.0
156,17,FED003_FR1concat.csv,11.0
157,17,FED004_FR1concat.csv,7.5
158,17,FED006_FR1concat.csv,7.0
159,17,FED007_FR1concat.csv,9.5
