feedStart,feedEnd,feedDuration,filename,Device,Sex,Task,Filename
107547,107814,267,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
108420,108523,103,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
108997,109156,159,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
109534,109788,254,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
109958,109977,19,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
110166,110329,163,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
112611,112733,122,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
113180,113189,9,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
134698,134706,8,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
134895,134984,89,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
135657,135685,28,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
137386,137487,101,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
137685,137730,45,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
138027,138177,150,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
139108,139146,38,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
139218,139266,48,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
140024,140166,142,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
145257,145417,160,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
145482,145512,30,CASTLE_003_120424_01_.CSV,3,M,Free Chow,CASTLE_003_120424_01_.CSV
