Meal_Size,Filename
9,M_4_Andrews_Free_fed09902032200.csv
5,M_4_Andrews_Free_fed09902032200.csv
3,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
5,M_4_Andrews_Free_fed09902032200.csv
5,M_4_Andrews_Free_fed09902032200.csv
3,M_4_Andrews_Free_fed09902032200.csv
5,M_4_Andrews_Free_fed09902032200.csv
7,M_4_Andrews_Free_fed09902032200.csv
8,M_4_Andrews_Free_fed09902032200.csv
3,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
3,M_4_Andrews_Free_fed09902032200.csv
9,M_4_Andrews_Free_fed09902032200.csv
6,M_4_Andrews_Free_fed09902032200.csv
4,M_4_Andrews_Free_fed09902032200.csv
7,M_4_Andrews_Free_fed09902032200.csv
6,M_9_Andrews_Free_fed00802032200.csv
8,M_9_Andrews_Free_fed00802032200.csv
5,M_9_Andrews_Free_fed00802032200.csv
5,M_9_Andrews_Free_fed00802032200.csv
4,M_9_Andrews_Free_fed00802032200.csv
8,M_9_Andrews_Free_fed00802032200.csv
10,M_9_Andrews_Free_fed00802032200.csv
3,M_9_Andrews_Free_fed00802032200.csv
7,M_9_Andrews_Free_fed00802032200.csv
10,M_9_Andrews_Free_fed00802032200.csv
8,M_9_Andrews_Free_fed00802032200.csv
4,M_9_Andrews_Free_fed00802032200.csv
7,M_9_Andrews_Free_fed00802032200.csv
4,M_9_Andrews_Free_fed00802032200.csv
6,M_9_Andrews_Free_fed00802032200.csv
6,M_9_Andrews_Free_fed00802032200.csv
9,M_9_Andrews_Free_fed00802032200.csv
8,M_9_Andrews_Free_fed00802032200.csv
12,M_9_Andrews_Free_fed00802032200.csv
7,M_9_Andrews_Free_fed00802032200.csv
6,M_9_Andrews_Free_fed00802032200.csv
7,M_9_Andrews_Free_fed00802032200.csv
6,M_9_Andrews_Free_fed00802032200.csv
11,M_9_Andrews_Free_fed00802032200.csv
4,M_9_Andrews_Free_fed00802032200.csv
7,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
5,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
5,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
5,F_17_Creed_Free_FED00203242302.CSV
4,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
6,F_17_Creed_Free_FED00203242302.CSV
7,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
6,F_17_Creed_Free_FED00203242302.CSV
5,F_17_Creed_Free_FED00203242302.CSV
3,F_17_Creed_Free_FED00203242302.CSV
10,F_17_Creed_Free_FED00203242302.CSV
4,M_7_Andrews_Free_fed00502032200.csv
4,M_7_Andrews_Free_fed00502032200.csv
7,M_7_Andrews_Free_fed00502032200.csv
10,M_7_Andrews_Free_fed00502032200.csv
9,M_7_Andrews_Free_fed00502032200.csv
9,M_7_Andrews_Free_fed00502032200.csv
4,M_7_Andrews_Free_fed00502032200.csv
8,M_7_Andrews_Free_fed00502032200.csv
5,M_7_Andrews_Free_fed00502032200.csv
5,M_7_Andrews_Free_fed00502032200.csv
10,M_7_Andrews_Free_fed00502032200.csv
