Sex,ID,Lab,Task,Filename,Duration_Hours,Pellet_Count,Retrieval_Time,Pellets per Hour
F,16,Creed,FR1,FED00103252301.CSV,23.8325,129,0.85,5.412776670512955
M,22,Creed,FR1,FED004030623.CSV,23.546388888888888,202,1.34,8.578810150176366
F,17,Creed,FR1,FED002032523.CSV,23.99972222222222,169,0.49,7.041748168381579
M,23,Creed,FR1,FED005030823Concat.csv,23.941111111111113,222,1.53,9.272752587367151
F,16,Creed,Free,FED00103242302.CSV,23.325277777777778,201,Timed_out,8.61726072096319
F,18,Creed,Free,FED00605282302.CSV,22.83222222222222,261,11.83,11.431213197722517
F,15,Creed,Free,FED00003242302.CSV,23.134722222222223,235,0.06,10.157891577114727
F,17,Creed,Free,FED00203242302.CSV,23.49222222222222,196,Timed_out,8.343186870358984
M,23,Creed,Free,FED005030723.CSV,21.69638888888889,263,0.06,12.121832870293314
M,19,Creed,Free,FED002051923.CSV,18.020833333333332,226,14.66,12.541040462427747
M,21,Creed,Free,FED003051923.CSV,18.759722222222223,232,7.35,12.36692085585252
M,20,Creed,Free,FED003030523.CSV,18.510833333333334,255,8.45,13.775716922522847
M,22,Creed,Free,FED004030523.CSV,21.16583333333333,268,4.40,12.661915823457617
F,89,Maloney,FR1,G5Female.CSV,23.864722222222223,157,,6.578748268597302
F,86,Maloney,FR1,G1Female.CSV,23.698333333333334,145,0.36,6.118573739362824
F,88,Maloney,FR1,G4Female.CSV,23.997222222222224,168,0.61,7.000810278967473
F,87,Maloney,FR1,G2Female.CSV,22.94611111111111,178,,7.7573057647144275
M,90,Maloney,FR1,D1Male.CSV,23.829166666666666,188,0.06,7.889491169784928
M,93,Maloney,FR1,D4Male.CSV,23.80027777777778,215,,9.033508012278102
M,91,Maloney,FR1,D2Male.CSV,23.960555555555555,178,0.18,7.428876162211042
M,92,Maloney,FR1,D3Male.CSV,22.654722222222222,171,4.72,7.548095197224027
F,89,Maloney,Free,G5Female.CSV,21.610833333333332,271,Timed_out,12.540006940963252
F,87,Maloney,Free,G2Female.CSV,21.191388888888888,323,0.06,15.24204013684804
F,88,Maloney,Free,G4Female.CSV,21.620555555555555,277,Timed_out,12.81188169694478
M,92,Maloney,Free,D3Male.CSV,21.518333333333334,243,,11.292696150569281
M,91,Maloney,Free,D2Male.CSV,20.91722222222222,303,0.18,14.48567103131391
M,93,Maloney,Free,D4Male.CSV,21.48777777777778,318,,14.799110605512176
F,86,Maloney,Free,G1Female.CSV,21.559166666666666,246,37.74,11.410459587955627
M,90,Maloney,Free,D1Male.CSV,21.463333333333335,257,Timed_out,11.973908992079515
M,75,FobbsWUSTL,FR1,FED004FR1Concat.csv,22.963333333333335,93,1.1,4.049934678472928
F,70,FobbsWUSTL,FR1,FED007FR1Concat.csv,23.37611111111111,151,0.66,6.459585997100554
M,74,FobbsWUSTL,FR1,FED003FR1Concat.csv,23.61111111111111,137,0.6,5.802352941176471
F,71,FobbsWUSTL,FR1,FED008FR1Concat.csv,22.86277777777778,108,0.35,4.723835443345564
M,73,FobbsWUSTL,FR1,FED002FR1Concat.csv,22.928055555555556,162,0.79,7.065579530172884
M,72,FobbsWUSTL,FR1,FED001FR1Concat.csv,23.987222222222222,164,1.23,6.836973388609676
F,68,FobbsWUSTL,FR1,FED005FR1Concat.csv,22.476666666666667,117,0.85,5.2053981907162985
M,72,FobbsWUSTL,Free,FED00107082204.CSV,23.98111111111111,201,Timed_out,8.381596626974934
M,73,FobbsWUSTL,Free,FED00207082206.CSV,23.340555555555557,169,2.56,7.240615999809582
F,68,FobbsWUSTL,Free,FED00507082203.CSV,23.749166666666667,225,5.85,9.474016632162531
F,70,FobbsWUSTL,Free,FED00707082206.CSV,23.99111111111111,233,Timed_out,9.711930344572064
M,75,FobbsWUSTL,Free,FED00407082218.CSV,19.986666666666668,142,Timed_out,7.104736490993996
M,74,FobbsWUSTL,Free,FED00307082207.CSV,23.769444444444446,219,,9.21350940750263
F,71,FobbsWUSTL,Free,FED00807082205.CSV,23.981944444444444,199,Timed_out,8.297909306770139
M,8,Andrews,Free,fed00602022201.csv,23.69972222222222,140,,5.907242232093672
M,12,Andrews,Free,fed01402032200.csv,23.368055555555557,254,,10.869539375928676
M,13,Andrews,Free,fed01502032200.csv,23.932777777777776,263,,10.989113024907729
M,1,Andrews,Free,fed01902022210.csv,23.462777777777777,250,Timed_out,10.655174863258589
M,2,Andrews,Free,fed02402032200.csv,23.52638888888889,207,Timed_out,8.798630379597379
M,4,Andrews,Free,fed09902032200.csv,23.74972222222222,180,,7.579036012117101
M,7,Andrews,Free,fed00502032200.csv,22.703055555555554,209,,9.205809301244326
M,6,Andrews,Free,fed00402032200.csv,23.77,191,,8.035338662179218
M,10,Andrews,Free,fed00902032200.csv,23.666666666666668,215,,9.08450704225352
M,3,Andrews,Free,fed02702032200.csv,22.675555555555555,174,Timed_out,7.673461387691102
M,5,Andrews,Free,fed00202032200.csv,22.836944444444445,218,Timed_out,9.54593555763687
M,11,Andrews,Free,fed01302032200.csv,22.64388888888889,158,,6.977600039255134
M,14,Andrews,Free,fed01802032200.csv,22.914166666666667,272,,11.870385860275666
M,9,Andrews,Free,fed00802032200.csv,23.954722222222223,186,,7.764648584714218
M,9,Andrews,FR1,fed00804262204.csv,23.976388888888888,135,,5.630539303713144
M,13,Andrews,FR1,fed01504262201.csv,23.872222222222224,87,0.06,3.6444030719106353
M,4,Andrews,FR1,fed09904262202.csv,23.9775,111,0.31,4.629340006255865
M,5,Andrews,FR1,fed00204262201.csv,22.48361111111111,175,3.37,7.783447202283145
M,6,Andrews,FR1,fed00404262201.csv,19.827222222222222,109,1.10,5.497492224494943
M,7,Andrews,FR1,fed00504262201.csv,23.825277777777778,71,,2.9800282146646304
M,1,Andrews,FR1,fed01904262201.csv,23.434166666666666,148,0.06,6.315564880338537
M,14,Andrews,FR1,fed01804262201.csv,23.989166666666666,149,0.18,6.211136971549658
M,2,Andrews,FR1,fed02404262201.csv,23.32,150,0.18,6.432246998284734
M,12,Andrews,FR1,fed01404262202.csv,22.216666666666665,146,11.98,6.571642910727682
M,3,Andrews,FR1,fed02704262201.csv,23.92527777777778,123,0.42,5.141006141807247
M,11,Andrews,FR1,fed01304262201.csv,22.185555555555556,175,0.24,7.888015225121451
M,10,Andrews,FR1,fed00904262201.csv,23.290277777777778,110,0.18,4.723000775240026
M,8,Andrews,FR1,fed00604262201.csv,20.678055555555556,96,0.25,4.642602866699803
M,99,McCutcheon,FR1,FED00605102202.CSV,23.508333333333333,145,0.27,6.168025522864233
M,94,McCutcheon,FR1,FED00105102204.CSV,23.525277777777777,159,0.47,6.7586874638391325
M,98,McCutcheon,FR1,FED00505102203.CSV,22.770555555555557,153,0.06,6.719203649937785
M,96,McCutcheon,FR1,FED00305102203.CSV,23.601666666666667,148,0.34,6.270743591554269
M,95,McCutcheon,FR1,FED00205102202.CSV,23.965,192,0.81,8.011683705403714
M,97,McCutcheon,FR1,FED00405102204.CSV,23.95888888888889,142,,5.926819088253026
M,94,McCutcheon,Free,FED00105032200.CSV,23.97833333333333,220,7.63,9.174949607284354
M,95,McCutcheon,Free,FED00205032200.CSV,22.886666666666667,195,,8.520244683949898
M,96,McCutcheon,Free,FED00305032200.CSV,23.806944444444444,215,8.26,9.030978355988566
M,97,McCutcheon,Free,FED00405032200.CSV,23.729444444444443,205,,8.639056025097746
M,98,McCutcheon,Free,FED00505032200.CSV,23.59638888888889,221,7.85,9.365839876628957
M,99,McCutcheon,Free,FED00605032200.CSV,23.694166666666668,195,6.62,8.229873738261878
