MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 17:53:19,8,3.99,,FR1,Poke,Left,42,79,25,,0,FR1
2024-07-28 17:53:19,8,3.99,,FR1,Poke,Left,43,79,25,,0,FR1
2024-07-28 17:53:22,8,3.99,2.0,FR1,Pellet,Left,43,79,26,0.37,0,FR1
2024-07-28 17:55:32,8,3.99,,FR1,Poke,Left,44,79,26,,0,FR1
2024-07-28 17:55:33,8,3.99,1.0,FR1,Pellet,Left,44,79,27,0.31,0,FR1
2024-07-28 18:37:16,8,3.99,,FR1,Poke,Left,44,80,27,,0,FR1
2024-07-28 18:38:24,8,4.0,,FR1,Poke,Left,45,80,27,,0,FR1
2024-07-28 18:38:26,8,3.99,1.0,FR1,Pellet,Left,45,80,28,0.95,0,FR1
2024-07-28 18:38:57,8,3.99,,FR1,Poke,Left,46,80,28,,0,FR1
2024-07-28 18:38:59,8,3.99,1.0,FR1,Pellet,Left,46,80,29,0.82,0,FR1
2024-07-28 18:40:10,8,3.98,,FR1,Poke,Left,47,80,29,,0,FR1
2024-07-28 18:40:16,8,3.99,3.0,FR1,Pellet,Left,47,80,30,0.75,0,FR1
2024-07-28 18:40:38,8,3.99,,FR1,Poke,Left,48,80,30,,0,FR1
2024-07-28 18:40:39,8,4.0,,FR1,Poke,Left,49,80,30,,0,FR1
2024-07-28 18:40:43,8,3.99,2.0,FR1,Pellet,Left,49,80,31,1.64,0,FR1
2024-07-28 18:41:07,8,3.99,,FR1,Poke,Left,50,80,31,,0,FR1
2024-07-28 18:41:09,8,3.99,1.0,FR1,Pellet,Left,50,80,32,0.63,0,FR1
2024-07-28 18:42:30,8,3.99,,FR1,Poke,Left,51,80,32,,0,FR1
2024-07-28 18:43:27,8,3.99,,FR1,Poke,Left,52,80,32,,0,FR1
2024-07-28 18:43:48,8,3.98,,FR1,Poke,Left,53,80,32,,0,FR1
2024-07-28 18:45:01,8,3.99,,FR1,Poke,Left,54,80,32,,0,FR1
2024-07-28 18:45:04,8,3.98,,FR1,Poke,Left,55,80,32,,0,FR1
2024-07-28 18:45:07,8,3.98,,FR1,Poke,Left,56,80,32,,0,FR1
2024-07-28 18:45:14,8,3.99,,FR1,Poke,Left,57,80,32,,0,FR1
2024-07-28 18:46:52,8,3.99,,FR1,Poke,Left,58,80,32,,0,FR1
2024-07-28 18:47:26,8,3.99,,FR1,Poke,Left,58,81,32,,0,FR1
2024-07-28 18:47:28,8,3.99,1.0,FR1,Pellet,Left,58,81,33,,0,FR1
2024-07-28 18:50:54,8,3.99,,FR1,Poke,Left,58,82,33,,0,FR1
2024-07-28 18:51:05,8,3.99,,FR1,Poke,Left,59,82,33,,0,FR1
2024-07-28 18:51:08,8,3.99,1.0,FR1,Pellet,Left,59,82,34,2.08,0,FR1
2024-07-28 18:51:59,8,3.99,,FR1,Poke,Left,60,82,34,,0,FR1
2024-07-28 18:52:00,8,3.99,,FR1,Poke,Left,61,82,34,,0,FR1
2024-07-28 18:52:03,8,3.99,2.0,FR1,Pellet,Left,61,82,35,0.56,0,FR1
2024-07-28 18:56:28,8,3.99,,FR1,Poke,Left,62,82,35,,0,FR1
2024-07-28 18:57:18,8,3.99,,FR1,Poke,Left,62,83,35,,0,FR1
2024-07-28 19:02:15,8,3.99,1.0,FR1,Pellet,Left,62,83,36,,0,FR1
2024-07-28 19:04:29,8,3.98,,FR1,Poke,Left,63,83,36,,0,FR1
2024-07-28 19:04:31,8,3.98,1.0,FR1,Pellet,Left,63,83,37,1.26,0,FR1
2024-07-28 19:05:05,8,3.99,,FR1,Poke,Left,64,83,37,,0,FR1
2024-07-28 19:05:12,8,3.99,,FR1,Poke,Left,65,83,37,,0,FR1
2024-07-28 19:05:13,8,3.99,,FR1,Poke,Left,66,83,37,,0,FR1
2024-07-28 19:05:27,8,3.98,2.0,FR1,Pellet,Left,66,83,38,19.66,0,FR1
2024-07-28 19:07:06,8,3.99,,FR1,Poke,Left,67,83,38,,0,FR1
2024-07-28 19:07:06,8,3.98,1.0,FR1,Pellet,Left,67,83,39,0.06,0,FR1
2024-07-28 19:07:24,8,3.99,,FR1,Poke,Left,68,83,39,,0,FR1
2024-07-28 19:07:33,8,3.98,,FR1,Poke,Left,69,83,39,,0,FR1
